Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Espírito Santo
Hiper c/ Diabete por Município
Período:Out/2010
"Município";"Hiper_c/_Diabete"
"320010 AFONSO CLAUDIO";5
"320060 ARACRUZ";3
"320070 ATILIO VIVACQUA";1
"320115 BREJETUBA";1
"320120 CACHOEIRO DE ITAPEMIRIM";11
"320150 COLATINA";12
"320190 DOMINGOS MARTINS";5
"320230 GUACUI";5
"320240 GUARAPARI";29
"320245 IBATIBA";6
"320250 IBIRACU";1
"320270 ITAGUACU";1
"320280 ITAPEMIRIM";1
"320320 LINHARES";33
"320332 MARATAIZES";14
"320334 MARECHAL FLORIANO";1
"320340 MIMOSO DO SUL";10
"320390 NOVA VENECIA";15
"320430 PRESIDENTE KENNEDY";11
"320435 RIO BANANAL";3
"320440 RIO NOVO DO SUL";3
"320455 SANTA MARIA DE JETIBA";4
"320460 SANTA TERESA";4
"320495 SAO ROQUE DO CANAA";1
"320501 SOORETAMA";3
"320503 VARGEM ALTA";2
"320506 VENDA NOVA DO IMIGRANTE";2
"320510 VIANA";7
"320520 VILA VELHA";67
"320530 VITORIA";40
"Total";301
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
