Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Espírito Santo
Hiper c/ Diabete por Município
Período:Nov/2010
"Município";"Hiper_c/_Diabete"
"320010 AFONSO CLAUDIO";3
"320060 ARACRUZ";4
"320070 ATILIO VIVACQUA";22
"320080 BAIXO GUANDU";1
"320120 CACHOEIRO DE ITAPEMIRIM";5
"320140 CASTELO";2
"320150 COLATINA";5
"320180 DIVINO DE SAO LOURENCO";1
"320190 DOMINGOS MARTINS";3
"320240 GUARAPARI";20
"320245 IBATIBA";4
"320250 IBIRACU";4
"320270 ITAGUACU";1
"320280 ITAPEMIRIM";5
"320320 LINHARES";26
"320332 MARATAIZES";7
"320334 MARECHAL FLORIANO";3
"320340 MIMOSO DO SUL";4
"320370 MUNIZ FREIRE";3
"320390 NOVA VENECIA";2
"320430 PRESIDENTE KENNEDY";8
"320435 RIO BANANAL";2
"320455 SANTA MARIA DE JETIBA";3
"320460 SANTA TERESA";2
"320470 SAO GABRIEL DA PALHA";3
"320501 SOORETAMA";5
"320503 VARGEM ALTA";2
"320506 VENDA NOVA DO IMIGRANTE";4
"320510 VIANA";3
"320520 VILA VELHA";87
"320530 VITORIA";29
"Total";273
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
