Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Espírito Santo
Hiper c/ Diabete por Município
Período:Dez/2010
"Município";"Hiper_c/_Diabete"
"320010 AFONSO CLAUDIO";3
"320013 AGUIA BRANCA";1
"320030 ALFREDO CHAVES";2
"320060 ARACRUZ";8
"320070 ATILIO VIVACQUA";47
"320120 CACHOEIRO DE ITAPEMIRIM";10
"320140 CASTELO";3
"320150 COLATINA";3
"320240 GUARAPARI";6
"320245 IBATIBA";1
"320250 IBIRACU";1
"320280 ITAPEMIRIM";8
"320310 JERONIMO MONTEIRO";1
"320320 LINHARES";20
"320332 MARATAIZES";34
"320334 MARECHAL FLORIANO";1
"320360 MUCURICI";1
"320390 NOVA VENECIA";9
"320400 PANCAS";6
"320430 PRESIDENTE KENNEDY";4
"320435 RIO BANANAL";2
"320455 SANTA MARIA DE JETIBA";1
"320460 SANTA TERESA";2
"320501 SOORETAMA";8
"320503 VARGEM ALTA";3
"320510 VIANA";5
"320520 VILA VELHA";46
"320530 VITORIA";25
"Total";261
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
