Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Espírito Santo
Hiper c/ Diabete por Município
Período:Fev/2010
"Município";"Hiper_c/_Diabete"
"320010 AFONSO CLAUDIO";3
"320013 AGUIA BRANCA";2
"320060 ARACRUZ";1
"320070 ATILIO VIVACQUA";1
"320080 BAIXO GUANDU";2
"320090 BARRA DE SAO FRANCISCO";2
"320115 BREJETUBA";2
"320120 CACHOEIRO DE ITAPEMIRIM";11
"320140 CASTELO";1
"320150 COLATINA";40
"320190 DOMINGOS MARTINS";4
"320200 DORES DO RIO PRETO";2
"320220 FUNDAO";20
"320240 GUARAPARI";31
"320245 IBATIBA";2
"320270 ITAGUACU";3
"320280 ITAPEMIRIM";16
"320310 JERONIMO MONTEIRO";1
"320320 LINHARES";18
"320332 MARATAIZES";3
"320334 MARECHAL FLORIANO";2
"320340 MIMOSO DO SUL";6
"320350 MONTANHA";3
"320360 MUCURICI";3
"320390 NOVA VENECIA";43
"320430 PRESIDENTE KENNEDY";3
"320440 RIO NOVO DO SUL";1
"320455 SANTA MARIA DE JETIBA";13
"320460 SANTA TERESA";2
"320470 SAO GABRIEL DA PALHA";1
"320495 SAO ROQUE DO CANAA";1
"320500 SERRA";5
"320506 VENDA NOVA DO IMIGRANTE";3
"320510 VIANA";1
"320520 VILA VELHA";42
"320530 VITORIA";40
"Total";334
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
