Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Espírito Santo
Hiper c/ Diabete por Município
Período:Mar/2010
"Município";"Hiper_c/_Diabete"
"320010 AFONSO CLAUDIO";4
"320060 ARACRUZ";2
"320110 BOM JESUS DO NORTE";2
"320115 BREJETUBA";4
"320120 CACHOEIRO DE ITAPEMIRIM";14
"320140 CASTELO";2
"320150 COLATINA";28
"320190 DOMINGOS MARTINS";7
"320200 DORES DO RIO PRETO";1
"320220 FUNDAO";22
"320240 GUARAPARI";17
"320245 IBATIBA";8
"320280 ITAPEMIRIM";10
"320320 LINHARES";27
"320332 MARATAIZES";2
"320334 MARECHAL FLORIANO";1
"320340 MIMOSO DO SUL";27
"320360 MUCURICI";4
"320390 NOVA VENECIA";38
"320400 PANCAS";8
"320425 PONTO BELO";2
"320430 PRESIDENTE KENNEDY";3
"320435 RIO BANANAL";3
"320440 RIO NOVO DO SUL";4
"320455 SANTA MARIA DE JETIBA";7
"320460 SANTA TERESA";4
"320470 SAO GABRIEL DA PALHA";6
"320480 SAO JOSE DO CALCADO";1
"320503 VARGEM ALTA";1
"320506 VENDA NOVA DO IMIGRANTE";6
"320510 VIANA";7
"320520 VILA VELHA";78
"320530 VITORIA";72
"Total";422
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
