Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Espírito Santo
Hiper c/ Diabete por Município
Período:Abr/2010
"Município";"Hiper_c/_Diabete"
"320010 AFONSO CLAUDIO";5
"320013 AGUIA BRANCA";1
"320030 ALFREDO CHAVES";3
"320060 ARACRUZ";4
"320080 BAIXO GUANDU";1
"320115 BREJETUBA";4
"320120 CACHOEIRO DE ITAPEMIRIM";7
"320150 COLATINA";25
"320190 DOMINGOS MARTINS";5
"320200 DORES DO RIO PRETO";1
"320240 GUARAPARI";13
"320245 IBATIBA";2
"320270 ITAGUACU";2
"320280 ITAPEMIRIM";3
"320310 JERONIMO MONTEIRO";1
"320320 LINHARES";21
"320332 MARATAIZES";1
"320340 MIMOSO DO SUL";22
"320360 MUCURICI";14
"320390 NOVA VENECIA";3
"320430 PRESIDENTE KENNEDY";2
"320435 RIO BANANAL";4
"320440 RIO NOVO DO SUL";1
"320455 SANTA MARIA DE JETIBA";12
"320470 SAO GABRIEL DA PALHA";29
"320495 SAO ROQUE DO CANAA";1
"320501 SOORETAMA";1
"320503 VARGEM ALTA";1
"320506 VENDA NOVA DO IMIGRANTE";3
"320510 VIANA";4
"320520 VILA VELHA";52
"320530 VITORIA";53
"Total";301
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
