Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Espírito Santo
Hiper c/ Diabete por Município
Período:Mai/2010
"Município";"Hiper_c/_Diabete"
"320010 AFONSO CLAUDIO";9
"320060 ARACRUZ";7
"320090 BARRA DE SAO FRANCISCO";1
"320115 BREJETUBA";5
"320120 CACHOEIRO DE ITAPEMIRIM";4
"320140 CASTELO";4
"320150 COLATINA";18
"320190 DOMINGOS MARTINS";5
"320200 DORES DO RIO PRETO";2
"320230 GUACUI";8
"320240 GUARAPARI";6
"320280 ITAPEMIRIM";8
"320310 JERONIMO MONTEIRO";5
"320320 LINHARES";19
"320332 MARATAIZES";2
"320340 MIMOSO DO SUL";46
"320390 NOVA VENECIA";4
"320400 PANCAS";1
"320430 PRESIDENTE KENNEDY";23
"320435 RIO BANANAL";4
"320440 RIO NOVO DO SUL";1
"320460 SANTA TERESA";2
"320501 SOORETAMA";3
"320503 VARGEM ALTA";1
"320506 VENDA NOVA DO IMIGRANTE";1
"320510 VIANA";7
"320520 VILA VELHA";67
"320530 VITORIA";48
"Total";311
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
