Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Espírito Santo
Hiper c/ Diabete por Município
Período:Jun/2010
"Município";"Hiper_c/_Diabete"
"320010 AFONSO CLAUDIO";4
"320013 AGUIA BRANCA";3
"320060 ARACRUZ";12
"320080 BAIXO GUANDU";1
"320115 BREJETUBA";1
"320120 CACHOEIRO DE ITAPEMIRIM";17
"320140 CASTELO";4
"320150 COLATINA";7
"320190 DOMINGOS MARTINS";5
"320200 DORES DO RIO PRETO";2
"320230 GUACUI";5
"320240 GUARAPARI";9
"320245 IBATIBA";1
"320250 IBIRACU";1
"320280 ITAPEMIRIM";5
"320320 LINHARES";44
"320332 MARATAIZES";4
"320340 MIMOSO DO SUL";2
"320350 MONTANHA";1
"320360 MUCURICI";1
"320390 NOVA VENECIA";8
"320400 PANCAS";1
"320430 PRESIDENTE KENNEDY";10
"320435 RIO BANANAL";4
"320440 RIO NOVO DO SUL";1
"320455 SANTA MARIA DE JETIBA";14
"320470 SAO GABRIEL DA PALHA";7
"320501 SOORETAMA";7
"320506 VENDA NOVA DO IMIGRANTE";2
"320510 VIANA";8
"320520 VILA VELHA";41
"320530 VITORIA";40
"Total";272
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
