Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Espírito Santo
Hiper c/ Diabete por Município
Período:Jul/2010
"Município";"Hiper_c/_Diabete"
"320010 AFONSO CLAUDIO";2
"320013 AGUIA BRANCA";1
"320060 ARACRUZ";30
"320090 BARRA DE SAO FRANCISCO";1
"320115 BREJETUBA";1
"320120 CACHOEIRO DE ITAPEMIRIM";23
"320140 CASTELO";3
"320150 COLATINA";9
"320190 DOMINGOS MARTINS";4
"320230 GUACUI";8
"320240 GUARAPARI";11
"320245 IBATIBA";4
"320270 ITAGUACU";1
"320280 ITAPEMIRIM";7
"320310 JERONIMO MONTEIRO";1
"320320 LINHARES";35
"320332 MARATAIZES";8
"320334 MARECHAL FLORIANO";2
"320340 MIMOSO DO SUL";10
"320390 NOVA VENECIA";3
"320400 PANCAS";1
"320425 PONTO BELO";1
"320430 PRESIDENTE KENNEDY";9
"320435 RIO BANANAL";4
"320440 RIO NOVO DO SUL";2
"320455 SANTA MARIA DE JETIBA";10
"320460 SANTA TERESA";5
"320470 SAO GABRIEL DA PALHA";10
"320500 SERRA";3
"320501 SOORETAMA";6
"320503 VARGEM ALTA";1
"320506 VENDA NOVA DO IMIGRANTE";2
"320510 VIANA";5
"320520 VILA VELHA";44
"320530 VITORIA";39
"Total";306
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
