Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Espírito Santo
Hiper c/ Diabete por Município
Período:Ago/2010
"Município";"Hiper_c/_Diabete"
"320010 AFONSO CLAUDIO";4
"320013 AGUIA BRANCA";3
"320030 ALFREDO CHAVES";15
"320060 ARACRUZ";14
"320080 BAIXO GUANDU";3
"320115 BREJETUBA";1
"320120 CACHOEIRO DE ITAPEMIRIM";13
"320140 CASTELO";2
"320150 COLATINA";14
"320190 DOMINGOS MARTINS";5
"320200 DORES DO RIO PRETO";2
"320230 GUACUI";11
"320240 GUARAPARI";12
"320245 IBATIBA";7
"320280 ITAPEMIRIM";10
"320320 LINHARES";6
"320332 MARATAIZES";2
"320340 MIMOSO DO SUL";6
"320370 MUNIZ FREIRE";1
"320390 NOVA VENECIA";8
"320400 PANCAS";1
"320430 PRESIDENTE KENNEDY";12
"320435 RIO BANANAL";2
"320455 SANTA MARIA DE JETIBA";12
"320460 SANTA TERESA";9
"320470 SAO GABRIEL DA PALHA";10
"320490 SAO MATEUS";1
"320500 SERRA";1
"320501 SOORETAMA";4
"320503 VARGEM ALTA";5
"320506 VENDA NOVA DO IMIGRANTE";1
"320510 VIANA";16
"320520 VILA VELHA";59
"320530 VITORIA";40
"Total";312
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
