Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Espírito Santo
Hiper c/ Diabete por Município
Período:Set/2010
"Município";"Hiper_c/_Diabete"
"320013 AGUIA BRANCA";5
"320030 ALFREDO CHAVES";5
"320060 ARACRUZ";31
"320115 BREJETUBA";2
"320120 CACHOEIRO DE ITAPEMIRIM";13
"320140 CASTELO";4
"320150 COLATINA";8
"320180 DIVINO DE SAO LOURENCO";1
"320190 DOMINGOS MARTINS";1
"320230 GUACUI";12
"320240 GUARAPARI";19
"320280 ITAPEMIRIM";5
"320310 JERONIMO MONTEIRO";1
"320320 LINHARES";25
"320332 MARATAIZES";7
"320340 MIMOSO DO SUL";3
"320360 MUCURICI";1
"320370 MUNIZ FREIRE";1
"320390 NOVA VENECIA";5
"320400 PANCAS";1
"320430 PRESIDENTE KENNEDY";3
"320435 RIO BANANAL";9
"320440 RIO NOVO DO SUL";1
"320455 SANTA MARIA DE JETIBA";8
"320460 SANTA TERESA";7
"320470 SAO GABRIEL DA PALHA";2
"320500 SERRA";1
"320501 SOORETAMA";5
"320503 VARGEM ALTA";2
"320510 VIANA";4
"320520 VILA VELHA";79
"320530 VITORIA";54
"Total";325
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
