Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Goiás
Hiper c/ Diabete por Município
Período:Jan/2010
"Município";"Hiper_c/_Diabete"
"520005 ABADIA DE GOIAS";2
"520013 ACREUNA";4
"520015 ADELANDIA";1
"520017 AGUA FRIA DE GOIAS";1
"520025 AGUAS LINDAS DE GOIAS";7
"520110 ANAPOLIS";13
"520130 ANICUNS";1
"520140 APARECIDA DE GOIANIA";9
"520180 ARAGOIANIA";1
"520330 BELA VISTA DE GOIAS";2
"520400 CABECEIRAS";3
"520465 CAMPINACU";1
"520510 CATALAO";2
"520530 CAVALCANTE";3
"520549 CIDADE OCIDENTAL";7
"520552 COLINAS DO SUL";1
"520580 CORUMBA DE GOIAS";7
"520590 CORUMBAIBA";4
"520620 CRISTALINA";3
"520690 DAVINOPOLIS";3
"520750 ESTRELA DO NORTE";17
"520880 GOIANIRA";9
"520890 GOIAS";1
"520910 GOIATUBA";12
"520915 GOUVELANDIA";1
"520920 GUAPO";5
"521010 IPAMERI";2
"521015 IPIRANGA DE GOIAS";2
"521120 ITAPURANGA";1
"521130 ITARUMA";2
"521150 ITUMBIARA";5
"521180 JARAGUA";1
"521190 JATAI";6
"521250 LUZIANIA";13
"521290 MARZAGAO";1
"521310 MINEIROS";3
"521390 MOSSAMEDES";8
"521460 NIQUELANDIA";45
"521470 NOVA AMERICA";1
"521486 NOVA GLORIA";1
"521525 NOVO PLANALTO";1
"521560 PADRE BERNARDO";8
"521565 PALESTINA DE GOIAS";2
"521590 PALMINOPOLIS";2
"521600 PANAMA";2
"521710 PIRACANJUBA";3
"521760 PLANALTINA";12
"521770 PONTALINA";1
"521805 PORTEIRAO";2
"521839 PROFESSOR JAMIL";3
"521850 QUIRINOPOLIS";2
"521880 RIO VERDE";20
"521910 SANTA BARBARA DE GOIAS";1
"521930 SANTA HELENA DE GOIAS";7
"521940 SANTA RITA DO ARAGUAIA";5
"521971 SANTO ANTONIO DA BARRA";1
"522028 SAO PATRICIO";1
"522045 SENADOR CANEDO";4
"522140 TRINDADE";5
"522150 TURVANIA";1
"522160 URUACU";4
"522185 VALPARAISO DE GOIAS";39
"522205 VICENTINOPOLIS";4
"522220 VILA BOA";2
"Total";343
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
