Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Goiás
Hiper c/ Diabete por Município
Período:Out/2010
"Município";"Hiper_c/_Diabete"
"520005 ABADIA DE GOIAS";1
"520017 AGUA FRIA DE GOIAS";1
"520025 AGUAS LINDAS DE GOIAS";59
"520030 ALEXANIA";1
"520060 ALTO PARAISO DE GOIAS";19
"520110 ANAPOLIS";3
"520130 ANICUNS";6
"520140 APARECIDA DE GOIANIA";406
"520150 APORE";1
"520180 ARAGOIANIA";2
"520260 AURILANDIA";1
"520330 BELA VISTA DE GOIAS";7
"520400 CABECEIRAS";4
"520425 CACHOEIRA DOURADA";3
"520440 CAIAPONIA";1
"520500 CARMO DO RIO VERDE";10
"520510 CATALAO";1
"520530 CAVALCANTE";1
"520549 CIDADE OCIDENTAL";2
"520552 COLINAS DO SUL";2
"520590 CORUMBAIBA";18
"520620 CRISTALINA";2
"520750 ESTRELA DO NORTE";4
"520815 GAMELEIRA DE GOIAS";1
"520880 GOIANIRA";3
"520910 GOIATUBA";6
"520920 GUAPO";2
"521020 IPORA";2
"521030 ISRAELANDIA";1
"521150 ITUMBIARA";1
"521160 IVOLANDIA";1
"521180 JARAGUA";2
"521190 JATAI";5
"521250 LUZIANIA";24
"521310 MINEIROS";1
"521385 MORRO AGUDO DE GOIAS";1
"521460 NIQUELANDIA";1
"521520 NOVO BRASIL";1
"521530 ORIZONA";2
"521560 PADRE BERNARDO";11
"521565 PALESTINA DE GOIAS";4
"521590 PALMINOPOLIS";1
"521640 PARAUNA";2
"521710 PIRACANJUBA";2
"521760 PLANALTINA";2
"521770 PONTALINA";1
"521800 PORANGATU";14
"521805 PORTEIRAO";2
"521850 QUIRINOPOLIS";3
"521880 RIO VERDE";34
"521930 SANTA HELENA DE GOIAS";7
"521971 SANTO ANTONIO DA BARRA";14
"521975 SANTO ANTONIO DO DESCOBERTO";7
"522000 SAO JOAO D'ALIANCA";1
"522005 SAO JOAO DA PARAUNA";1
"522010 SAO LUIS DE MONTES BELOS";1
"522150 TURVANIA";6
"522185 VALPARAISO DE GOIAS";21
"Total";743
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
