Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Goiás
Hiper c/ Diabete por Município
Período:Nov/2010
"Município";"Hiper_c/_Diabete"
"520013 ACREUNA";1
"520025 AGUAS LINDAS DE GOIAS";7
"520110 ANAPOLIS";4
"520130 ANICUNS";17
"520140 APARECIDA DE GOIANIA";179
"520150 APORE";2
"520180 ARAGOIANIA";3
"520260 AURILANDIA";9
"520330 BELA VISTA DE GOIAS";3
"520393 BURITI DE GOIAS";13
"520410 CACHOEIRA ALTA";1
"520420 CACHOEIRA DE GOIAS";5
"520425 CACHOEIRA DOURADA";2
"520440 CAIAPONIA";4
"520460 CAMPESTRE DE GOIAS";1
"520465 CAMPINACU";1
"520500 CARMO DO RIO VERDE";11
"520549 CIDADE OCIDENTAL";7
"520552 COLINAS DO SUL";1
"520590 CORUMBAIBA";2
"520620 CRISTALINA";4
"520735 EDEALINA";1
"520880 GOIANIRA";4
"520910 GOIATUBA";3
"520920 GUAPO";1
"521030 ISRAELANDIA";1
"521120 ITAPURANGA";2
"521160 IVOLANDIA";1
"521190 JATAI";7
"521250 LUZIANIA";24
"521305 MIMOSO DE GOIAS";2
"521310 MINEIROS";3
"521530 ORIZONA";28
"521560 PADRE BERNARDO";4
"521570 PALMEIRAS DE GOIAS";16
"521590 PALMINOPOLIS";1
"521640 PARAUNA";2
"521710 PIRACANJUBA";2
"521760 PLANALTINA";6
"521770 PONTALINA";1
"521800 PORANGATU";5
"521805 PORTEIRAO";3
"521850 QUIRINOPOLIS";5
"521880 RIO VERDE";32
"521910 SANTA BARBARA DE GOIAS";1
"521930 SANTA HELENA DE GOIAS";1
"521971 SANTO ANTONIO DA BARRA";11
"521975 SANTO ANTONIO DO DESCOBERTO";1
"522005 SAO JOAO DA PARAUNA";18
"522010 SAO LUIS DE MONTES BELOS";7
"522045 SENADOR CANEDO";4
"522150 TURVANIA";8
"522185 VALPARAISO DE GOIAS";28
"Total";510
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
