Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Goiás
Hiper c/ Diabete por Município
Período:Dez/2010
"Município";"Hiper_c/_Diabete"
"520005 ABADIA DE GOIAS";10
"520013 ACREUNA";4
"520025 AGUAS LINDAS DE GOIAS";2
"520050 ALOANDIA";21
"520110 ANAPOLIS";2
"520130 ANICUNS";2
"520140 APARECIDA DE GOIANIA";64
"520150 APORE";1
"520180 ARAGOIANIA";4
"520260 AURILANDIA";7
"520330 BELA VISTA DE GOIAS";3
"520410 CACHOEIRA ALTA";2
"520420 CACHOEIRA DE GOIAS";3
"520440 CAIAPONIA";1
"520552 COLINAS DO SUL";1
"520620 CRISTALINA";6
"520880 GOIANIRA";2
"520920 GUAPO";1
"521020 IPORA";9
"521160 IVOLANDIA";1
"521180 JARAGUA";1
"521190 JATAI";3
"521250 LUZIANIA";10
"521310 MINEIROS";2
"521350 MONTE ALEGRE DE GOIAS";1
"521530 ORIZONA";1
"521560 PADRE BERNARDO";2
"521570 PALMEIRAS DE GOIAS";3
"521710 PIRACANJUBA";7
"521760 PLANALTINA";1
"521800 PORANGATU";10
"521850 QUIRINOPOLIS";4
"521880 RIO VERDE";18
"521890 RUBIATABA";1
"521930 SANTA HELENA DE GOIAS";3
"521971 SANTO ANTONIO DA BARRA";4
"521975 SANTO ANTONIO DO DESCOBERTO";21
"522005 SAO JOAO DA PARAUNA";9
"522010 SAO LUIS DE MONTES BELOS";17
"522045 SENADOR CANEDO";4
"522150 TURVANIA";5
"522185 VALPARAISO DE GOIAS";24
"Total";297
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
