Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Goiás
Hiper c/ Diabete por Município
Período:Fev/2010
"Município";"Hiper_c/_Diabete"
"520005 ABADIA DE GOIAS";7
"520013 ACREUNA";1
"520015 ADELANDIA";3
"520017 AGUA FRIA DE GOIAS";2
"520025 AGUAS LINDAS DE GOIAS";10
"520110 ANAPOLIS";5
"520140 APARECIDA DE GOIANIA";30
"520180 ARAGOIANIA";3
"520410 CACHOEIRA ALTA";2
"520425 CACHOEIRA DOURADA";2
"520440 CAIAPONIA";4
"520490 CAMPOS BELOS";2
"520530 CAVALCANTE";4
"520549 CIDADE OCIDENTAL";12
"520552 COLINAS DO SUL";2
"520580 CORUMBA DE GOIAS";4
"520620 CRISTALINA";6
"520740 EDEIA";2
"520750 ESTRELA DO NORTE";7
"520880 GOIANIRA";3
"520910 GOIATUBA";7
"520920 GUAPO";6
"521130 ITARUMA";2
"521150 ITUMBIARA";1
"521180 JARAGUA";2
"521190 JATAI";4
"521250 LUZIANIA";5
"521290 MARZAGAO";1
"521305 MIMOSO DE GOIAS";1
"521350 MONTE ALEGRE DE GOIAS";1
"521390 MOSSAMEDES";2
"521460 NIQUELANDIA";29
"521470 NOVA AMERICA";3
"521525 NOVO PLANALTO";4
"521530 ORIZONA";1
"521560 PADRE BERNARDO";3
"521565 PALESTINA DE GOIAS";1
"521590 PALMINOPOLIS";3
"521600 PANAMA";3
"521710 PIRACANJUBA";2
"521760 PLANALTINA";52
"521805 PORTEIRAO";5
"521850 QUIRINOPOLIS";35
"521880 RIO VERDE";49
"521930 SANTA HELENA DE GOIAS";6
"521940 SANTA RITA DO ARAGUAIA";2
"521990 SAO FRANCISCO DE GOIAS";1
"522000 SAO JOAO D'ALIANCA";33
"522045 SENADOR CANEDO";3
"522050 SERRANOPOLIS";1
"522160 URUACU";4
"522185 VALPARAISO DE GOIAS";46
"522205 VICENTINOPOLIS";2
"Total";431
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
