Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Goiás
Hiper c/ Diabete por Município
Período:Mar/2010
"Município";"Hiper_c/_Diabete"
"520005 ABADIA DE GOIAS";6
"520013 ACREUNA";3
"520017 AGUA FRIA DE GOIAS";1
"520025 AGUAS LINDAS DE GOIAS";16
"520110 ANAPOLIS";3
"520130 ANICUNS";1
"520140 APARECIDA DE GOIANIA";41
"520150 APORE";10
"520180 ARAGOIANIA";9
"520330 BELA VISTA DE GOIAS";2
"520410 CACHOEIRA ALTA";1
"520425 CACHOEIRA DOURADA";2
"520440 CAIAPONIA";1
"520465 CAMPINACU";4
"520490 CAMPOS BELOS";3
"520500 CARMO DO RIO VERDE";4
"520549 CIDADE OCIDENTAL";18
"520590 CORUMBAIBA";4
"520620 CRISTALINA";11
"520690 DAVINOPOLIS";3
"520740 EDEIA";2
"520750 ESTRELA DO NORTE";20
"520790 FLORES DE GOIAS";6
"520880 GOIANIRA";8
"520910 GOIATUBA";8
"520915 GOUVELANDIA";2
"520920 GUAPO";10
"520990 IACIARA";2
"521015 IPIRANGA DE GOIAS";1
"521150 ITUMBIARA";8
"521180 JARAGUA";1
"521190 JATAI";6
"521210 JOVIANIA";4
"521250 LUZIANIA";10
"521260 MAIRIPOTABA";1
"521290 MARZAGAO";1
"521310 MINEIROS";96
"521350 MONTE ALEGRE DE GOIAS";1
"521385 MORRO AGUDO DE GOIAS";1
"521390 MOSSAMEDES";1
"521460 NIQUELANDIA";24
"521470 NOVA AMERICA";2
"521525 NOVO PLANALTO";1
"521560 PADRE BERNARDO";5
"521710 PIRACANJUBA";4
"521760 PLANALTINA";93
"521805 PORTEIRAO";3
"521850 QUIRINOPOLIS";31
"521880 RIO VERDE";35
"521910 SANTA BARBARA DE GOIAS";2
"521930 SANTA HELENA DE GOIAS";7
"521940 SANTA RITA DO ARAGUAIA";2
"521990 SAO FRANCISCO DE GOIAS";2
"522000 SAO JOAO D'ALIANCA";6
"522045 SENADOR CANEDO";7
"522140 TRINDADE";1
"522160 URUACU";2
"522185 VALPARAISO DE GOIAS";37
"522205 VICENTINOPOLIS";2
"Total";598
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
