Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Goiás
Hiper c/ Diabete por Município
Período:Abr/2010
"Município";"Hiper_c/_Diabete"
"520005 ABADIA DE GOIAS";15
"520013 ACREUNA";3
"520025 AGUAS LINDAS DE GOIAS";8
"520110 ANAPOLIS";1
"520140 APARECIDA DE GOIANIA";23
"520150 APORE";15
"520180 ARAGOIANIA";1
"520330 BELA VISTA DE GOIAS";1
"520400 CABECEIRAS";1
"520425 CACHOEIRA DOURADA";1
"520440 CAIAPONIA";2
"520465 CAMPINACU";2
"520549 CIDADE OCIDENTAL";5
"520590 CORUMBAIBA";3
"520620 CRISTALINA";6
"520650 CROMINIA";1
"520690 DAVINOPOLIS";1
"520740 EDEIA";1
"520750 ESTRELA DO NORTE";10
"520790 FLORES DE GOIAS";8
"520815 GAMELEIRA DE GOIAS";2
"520880 GOIANIRA";4
"520910 GOIATUBA";5
"520915 GOUVELANDIA";1
"520920 GUAPO";7
"520990 IACIARA";2
"521010 IPAMERI";1
"521030 ISRAELANDIA";1
"521150 ITUMBIARA";5
"521160 IVOLANDIA";1
"521190 JATAI";9
"521250 LUZIANIA";11
"521310 MINEIROS";30
"521460 NIQUELANDIA";8
"521525 NOVO PLANALTO";1
"521530 ORIZONA";3
"521560 PADRE BERNARDO";6
"521600 PANAMA";4
"521710 PIRACANJUBA";4
"521760 PLANALTINA";60
"521805 PORTEIRAO";5
"521850 QUIRINOPOLIS";11
"521880 RIO VERDE";5
"521910 SANTA BARBARA DE GOIAS";3
"521930 SANTA HELENA DE GOIAS";25
"521971 SANTO ANTONIO DA BARRA";3
"522000 SAO JOAO D'ALIANCA";2
"522010 SAO LUIS DE MONTES BELOS";3
"522045 SENADOR CANEDO";10
"522160 URUACU";4
"522185 VALPARAISO DE GOIAS";36
"522190 VARJAO";1
"522205 VICENTINOPOLIS";2
"Total";383
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
