Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Goiás
Hiper c/ Diabete por Município
Período:Mai/2010
"Município";"Hiper_c/_Diabete"
"520005 ABADIA DE GOIAS";4
"520013 ACREUNA";5
"520110 ANAPOLIS";5
"520140 APARECIDA DE GOIANIA";16
"520150 APORE";3
"520180 ARAGOIANIA";1
"520400 CABECEIRAS";2
"520440 CAIAPONIA";3
"520549 CIDADE OCIDENTAL";5
"520552 COLINAS DO SUL";1
"520590 CORUMBAIBA";4
"520620 CRISTALINA";6
"520750 ESTRELA DO NORTE";12
"520790 FLORES DE GOIAS";8
"520815 GAMELEIRA DE GOIAS";1
"520880 GOIANIRA";2
"520910 GOIATUBA";4
"520915 GOUVELANDIA";1
"520920 GUAPO";5
"521010 IPAMERI";18
"521030 ISRAELANDIA";1
"521120 ITAPURANGA";1
"521130 ITARUMA";6
"521150 ITUMBIARA";7
"521190 JATAI";9
"521250 LUZIANIA";9
"521260 MAIRIPOTABA";1
"521305 MIMOSO DE GOIAS";18
"521310 MINEIROS";32
"521340 MOIPORA";1
"521350 MONTE ALEGRE DE GOIAS";1
"521460 NIQUELANDIA";4
"521560 PADRE BERNARDO";8
"521710 PIRACANJUBA";6
"521760 PLANALTINA";19
"521805 PORTEIRAO";2
"521850 QUIRINOPOLIS";9
"521880 RIO VERDE";1
"521910 SANTA BARBARA DE GOIAS";4
"521930 SANTA HELENA DE GOIAS";14
"521940 SANTA RITA DO ARAGUAIA";9
"522000 SAO JOAO D'ALIANCA";1
"522010 SAO LUIS DE MONTES BELOS";1
"522070 SITIO D'ABADIA";5
"522150 TURVANIA";1
"522185 VALPARAISO DE GOIAS";59
"Total";335
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
