Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Goiás
Hiper c/ Diabete por Município
Período:Jun/2010
"Município";"Hiper_c/_Diabete"
"520013 ACREUNA";4
"520025 AGUAS LINDAS DE GOIAS";1
"520130 ANICUNS";1
"520140 APARECIDA DE GOIANIA";11
"520150 APORE";3
"520400 CABECEIRAS";9
"520440 CAIAPONIA";3
"520460 CAMPESTRE DE GOIAS";1
"520530 CAVALCANTE";1
"520549 CIDADE OCIDENTAL";9
"520590 CORUMBAIBA";3
"520620 CRISTALINA";3
"520740 EDEIA";2
"520750 ESTRELA DO NORTE";7
"520815 GAMELEIRA DE GOIAS";1
"520880 GOIANIRA";7
"520910 GOIATUBA";1
"520920 GUAPO";7
"520990 IACIARA";2
"521120 ITAPURANGA";1
"521130 ITARUMA";1
"521150 ITUMBIARA";12
"521160 IVOLANDIA";1
"521190 JATAI";2
"521250 LUZIANIA";6
"521305 MIMOSO DE GOIAS";4
"521310 MINEIROS";13
"521350 MONTE ALEGRE DE GOIAS";6
"521460 NIQUELANDIA";10
"521560 PADRE BERNARDO";2
"521600 PANAMA";1
"521710 PIRACANJUBA";6
"521760 PLANALTINA";26
"521805 PORTEIRAO";1
"521850 QUIRINOPOLIS";19
"521930 SANTA HELENA DE GOIAS";2
"521940 SANTA RITA DO ARAGUAIA";4
"521971 SANTO ANTONIO DA BARRA";1
"521975 SANTO ANTONIO DO DESCOBERTO";1
"522005 SAO JOAO DA PARAUNA";2
"522010 SAO LUIS DE MONTES BELOS";4
"522028 SAO PATRICIO";10
"522045 SENADOR CANEDO";1
"522070 SITIO D'ABADIA";8
"522160 URUACU";1
"522185 VALPARAISO DE GOIAS";34
"Total";255
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
