Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Goiás
Hiper c/ Diabete por Município
Período:Jul/2010
"Município";"Hiper_c/_Diabete"
"520005 ABADIA DE GOIAS";9
"520013 ACREUNA";4
"520017 AGUA FRIA DE GOIAS";1
"520110 ANAPOLIS";2
"520130 ANICUNS";5
"520330 BELA VISTA DE GOIAS";1
"520400 CABECEIRAS";14
"520425 CACHOEIRA DOURADA";1
"520440 CAIAPONIA";2
"520460 CAMPESTRE DE GOIAS";3
"520490 CAMPOS BELOS";1
"520549 CIDADE OCIDENTAL";6
"520590 CORUMBAIBA";3
"520620 CRISTALINA";11
"520740 EDEIA";3
"520880 GOIANIRA";6
"520890 GOIAS";39
"520910 GOIATUBA";3
"520915 GOUVELANDIA";1
"520920 GUAPO";3
"521010 IPAMERI";2
"521150 ITUMBIARA";6
"521180 JARAGUA";1
"521190 JATAI";1
"521250 LUZIANIA";9
"521280 MARA ROSA";1
"521290 MARZAGAO";1
"521305 MIMOSO DE GOIAS";1
"521310 MINEIROS";12
"521340 MOIPORA";1
"521350 MONTE ALEGRE DE GOIAS";8
"521385 MORRO AGUDO DE GOIAS";1
"521460 NIQUELANDIA";9
"521520 NOVO BRASIL";1
"521530 ORIZONA";6
"521560 PADRE BERNARDO";4
"521710 PIRACANJUBA";6
"521760 PLANALTINA";16
"521800 PORANGATU";41
"521805 PORTEIRAO";4
"521850 QUIRINOPOLIS";5
"521880 RIO VERDE";35
"521910 SANTA BARBARA DE GOIAS";2
"521930 SANTA HELENA DE GOIAS";4
"522045 SENADOR CANEDO";3
"522070 SITIO D'ABADIA";6
"522185 VALPARAISO DE GOIAS";38
"Total";342
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
