Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Goiás
Hiper c/ Diabete por Município
Período:Ago/2010
"Município";"Hiper_c/_Diabete"
"520005 ABADIA DE GOIAS";4
"520013 ACREUNA";1
"520025 AGUAS LINDAS DE GOIAS";1
"520030 ALEXANIA";79
"520110 ANAPOLIS";1
"520130 ANICUNS";74
"520140 APARECIDA DE GOIANIA";2
"520150 APORE";1
"520180 ARAGOIANIA";2
"520400 CABECEIRAS";5
"520410 CACHOEIRA ALTA";2
"520425 CACHOEIRA DOURADA";1
"520440 CAIAPONIA";2
"520460 CAMPESTRE DE GOIAS";4
"520490 CAMPOS BELOS";1
"520549 CIDADE OCIDENTAL";8
"520590 CORUMBAIBA";9
"520620 CRISTALINA";3
"520750 ESTRELA DO NORTE";2
"520880 GOIANIRA";4
"520890 GOIAS";87
"520910 GOIATUBA";2
"520920 GUAPO";4
"521150 ITUMBIARA";3
"521160 IVOLANDIA";2
"521190 JATAI";9
"521250 LUZIANIA";11
"521260 MAIRIPOTABA";1
"521305 MIMOSO DE GOIAS";1
"521310 MINEIROS";8
"521340 MOIPORA";8
"521350 MONTE ALEGRE DE GOIAS";5
"521385 MORRO AGUDO DE GOIAS";1
"521460 NIQUELANDIA";12
"521520 NOVO BRASIL";1
"521530 ORIZONA";3
"521560 PADRE BERNARDO";4
"521590 PALMINOPOLIS";2
"521710 PIRACANJUBA";6
"521760 PLANALTINA";15
"521800 PORANGATU";13
"521805 PORTEIRAO";2
"521850 QUIRINOPOLIS";5
"521880 RIO VERDE";34
"521890 RUBIATABA";7
"521910 SANTA BARBARA DE GOIAS";4
"521930 SANTA HELENA DE GOIAS";10
"521940 SANTA RITA DO ARAGUAIA";3
"521971 SANTO ANTONIO DA BARRA";2
"521975 SANTO ANTONIO DO DESCOBERTO";1
"522045 SENADOR CANEDO";1
"522150 TURVANIA";3
"522185 VALPARAISO DE GOIAS";38
"Total";514
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
