Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Goiás
Hiper c/ Diabete por Município
Período:Set/2010
"Município";"Hiper_c/_Diabete"
"520005 ABADIA DE GOIAS";4
"520013 ACREUNA";2
"520015 ADELANDIA";15
"520017 AGUA FRIA DE GOIAS";1
"520025 AGUAS LINDAS DE GOIAS";23
"520060 ALTO PARAISO DE GOIAS";15
"520130 ANICUNS";12
"520140 APARECIDA DE GOIANIA";372
"520150 APORE";10
"520180 ARAGOIANIA";2
"520400 CABECEIRAS";3
"520500 CARMO DO RIO VERDE";3
"520510 CATALAO";2
"520530 CAVALCANTE";1
"520549 CIDADE OCIDENTAL";6
"520590 CORUMBAIBA";2
"520620 CRISTALINA";1
"520735 EDEALINA";1
"520740 EDEIA";2
"520750 ESTRELA DO NORTE";2
"520880 GOIANIRA";5
"520890 GOIAS";20
"520910 GOIATUBA";8
"520920 GUAPO";3
"520990 IACIARA";1
"521190 JATAI";13
"521250 LUZIANIA";17
"521305 MIMOSO DE GOIAS";1
"521310 MINEIROS";14
"521350 MONTE ALEGRE DE GOIAS";1
"521385 MORRO AGUDO DE GOIAS";1
"521460 NIQUELANDIA";2
"521530 ORIZONA";3
"521560 PADRE BERNARDO";2
"521565 PALESTINA DE GOIAS";1
"521590 PALMINOPOLIS";2
"521640 PARAUNA";2
"521710 PIRACANJUBA";5
"521720 PIRANHAS";1
"521760 PLANALTINA";3
"521770 PONTALINA";1
"521800 PORANGATU";12
"521850 QUIRINOPOLIS";5
"521880 RIO VERDE";28
"521910 SANTA BARBARA DE GOIAS";1
"521940 SANTA RITA DO ARAGUAIA";2
"522010 SAO LUIS DE MONTES BELOS";1
"522150 TURVANIA";6
"522185 VALPARAISO DE GOIAS";32
"Total";672
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
