Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Acre
Hiper c/ Diabete por Município
Período:Nov/2010
"Município";"Hiper_c/_Diabete"
"120005 ASSIS BRASIL";2
"120010 BRASILEIA";1
"120020 CRUZEIRO DO SUL";36
"120025 EPITACIOLANDIA";2
"120030 FEIJO";2
"120033 MANCIO LIMA";2
"120038 PLACIDO DE CASTRO";9
"120040 RIO BRANCO";23
"120042 RODRIGUES ALVES";1
"120050 SENA MADUREIRA";3
"Total";81
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
