Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Acre
Hiper c/ Diabete por Município
Período:Fev/2010
"Município";"Hiper_c/_Diabete"
"120001 ACRELANDIA";2
"120005 ASSIS BRASIL";1
"120020 CRUZEIRO DO SUL";5
"120025 EPITACIOLANDIA";1
"120032 JORDAO";1
"120038 PLACIDO DE CASTRO";5
"120040 RIO BRANCO";26
"120045 SENADOR GUIOMARD";1
"120050 SENA MADUREIRA";4
"120060 TARAUACA";1
"120080 PORTO ACRE";2
"Total";49
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
